unique_spon_names,normed_spon_names
The Second Clinical College of Guangzhou University of Chinese Medicine,The Second Clinical College of Guangzhou University of Chinese Medicine
The Second Hospital of Hebei Medical University,The Second Hospital of Hebei Medical University
The Second Hospital of Nanjing Medical University,The Second Hospital of Nanjing Medical University
The Second Hospital of Shanxi Medical University,The Second Hospital of Shanxi Medical University
The Second Xiangya Hospital of CSU,The Second Xiangya Hospital of CSU
The Sixth Affiliated Hospital of Sun Yat-sen University,The Sixth Affiliated Hospital of Sun Yat-sen University
The Sixth Medical Center of PLA General Hospital,The Sixth Medical Center of PLA General Hospital
The Third Affiliated Hospital of Sun Yat-sen University,The Third Affiliated Hospital of Sun Yat-sen University
The Third Affiliated Hospital of the Second Military Medical University,The Third Affiliated Hospital of the Second Military Medical University
The Third Hospital of Wuhan,The Third Hospital of Wuhan
The Third People's Hospital of Shenzhen,The Third People's Hospital of Shenzhen
The third xiangya hospital of Central South University,"The Third Xiangya Hospital, Central South University"
"The Third Xiangya Hospital, Central South University","The Third Xiangya Hospital, Central South University"
The University of Hong Kong,The University of Hong Kong
"Third Affiliated Hospital, Sun Yat-Sen University","Third Affiliated Hospital, Sun Yat-Sen University"
Tianhe Stem Cell Biotechnologies Inc.,Tianhe Stem Cell Biotechnologies Inc.
Tianjin Huanhu Hospital,Tianjin Huanhu Hospital
Tianjin University,Tianjin University
Tokue Yutaka,Tokue Yutaka
Tongde Hospital of Zhejiang Province,Tongde Hospital of Zhejiang Province
Tongji Hospital,Tongji Hospital
Tongji Hospital Affiliated to Tongji Medical College of Huazhong University of science and technology,"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
Tongji Hospital affiliated to Tongji medical college of HUST,"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
Tongji Hospital of Tongji Medical College of Huazhong University of Science and Technology,"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
"Tongji Hospital of Tongji Medical College, Huazhong University of Science and Technology","Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
Tongji Hospital of Tongji Medical College; Huazhong Science and Technology University,"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
Tongji Hospital of Tongji University,"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
"Tongji Hospital, Huazhong university of science and technology","Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
"Tongji Hospital, Tongji medical college of HUST","Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
"Tongji Hospital, Tongji Medical College of HUST","Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
"Tongji Hospital, Tongji Medical College, Huazhong University of Science & Technology","Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology","Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
"Tongji Hospital, Tongji Medical College, Huazhong University of science and technology","Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
